id,name,price,description,img
1,HEAVEN IN A BOX,48.75,"Box may include a selection of Seasonal Bars, Dark Chocolate Brownies, Shortbread, Chocolate Chip Cookies, a Seasonal Cookie Offering, and Peanut Brittle. Note some products contain nuts.",https://mahzedahrbakery.com/assets/ecom/product/image/2016/02/25/HeavenInABox-c.jpg
2,DARK CHOCOLATE EXPLOSION COOKIES,12.00,"Fresh creamery butter, flour, brown sugar, Valrhona cocoa, bittersweet chocolate, eggs, milk, leavening, pure Madagascar vanilla extract, confectioners’ sugar, kosher salt.",https://mahzedahrbakery.com/assets/product/image/2018/11/07/product_dark-chocolate-explosions-c.jpg
3,CHOCOLATE SABLE COOKIES,10.00,"Fresh creamery butter, Valrhona cocoa, flour, bittersweet chocolate, dark brown + white sugars, pure Madagascar vanilla bean paste, Maldon salt, leavening.",https://mahzedahrbakery.com/assets/product/image/2018/11/06/chocolatesable.jpg
4,BRIOCHE DOUGHNUT,25.00,"Flour, sugar, fresh yeast, fresh creamery butter, eggs, fresh cream, whole milk, sugar, vanilla bean, corn starch, gelatin, kosher salt.",https://mahzedahrbakery.com/assets/product/image/2018/11/07/product_donuts-c.jpg
5,COOKIE OF THE MONTH SUBSCRIPTION 6 pcs,60.00,"For the love of cookies! Each month, you will receive (or send to someone very lucky) an order of our cookies. With our Cookie Subscription, each month one order of a cookie flavor comes right to your door. Selection may include: chocolate chip, ginger snap, linzer, chocolate explosion, cardamom snickerdoodle or shortbread. It’s the sweetest thing we can think of doing for anyone! 
After the first cookie shipment, monthly cookie subscriptions are sent on the first Monday of each month (holidays and weather permitting). Please refer to individual flavors for ingredient information.",https://mahzedahrbakery.com/assets/ecom/product/image/2015/03/16/product_cookiesubscription-c.jpg
6,COOKIE OF THE MONTH SUBSCRIPTION 12 pcs,120.00,"For the love of cookies! Each month, you will receive (or send to someone very lucky) an order of our cookies. With our Cookie Subscription, each month one order of a cookie flavor comes right to your door. Selection may include: chocolate chip, ginger snap, linzer, chocolate explosion, cardamom snickerdoodle or shortbread. It’s the sweetest thing we can think of doing for anyone! 
After the first cookie shipment, monthly cookie subscriptions are sent on the first Monday of each month (holidays and weather permitting). Please refer to individual flavors for ingredient information.",https://mahzedahrbakery.com/assets/ecom/product/image/2015/03/16/product_cookiesubscription-c.jpg
7,CHOUX,22.50,"Flour, fresh creamery butter, eggs, fresh cream, whole milk, sugar, vanilla bean, corn starch, kosher salt.",https://mahzedahrbakery.com/assets/product/image/2018/11/07/product_choux-c.jpg
8,GINGER SNAP COOKIES,12.00,"Fresh creamery butter, flour, light brown sugar, eggs, ginger, molasses, pure Madagascar vanilla extract, cloves, cinnamon, baking soda.",https://mahzedahrbakery.com/assets/product/image/2018/11/08/product_gingersnaps-c.jpg
9,THE DEVIL IN GANACHE CAKE,55.00,"Fresh creamery butter, white + brown sugars, buttermilk, Valrhona cocoa, bittersweet chocolate, flour, eggs, cream, coffee, pure Madagascar vanilla extract, leavening, kosher salt.",https://mahzedahrbakery.com/assets/ecom/product/image/2015/03/17/product_cheesecake-cc.jpg
10,CHOCOLATE CHIP COOKIES,10,"Fresh creamery butter, dark and semisweet chocolate, brown sugar, flour, eggs, leavening, pure Madagascar vanilla extract, fleur de sel.",https://mahzedahrbakery.com/assets/product/image/2018/11/08/product_choco-chip-cookies-c.jpg
11,DARK CHOCOLATE BROWNIES,24.00,"Fresh creamery butter, Valrhona cocoa, flour, sugar, eggs, bittersweet chocolate, pure Madagascar vanilla extract, fleur de sel.",https://mahzedahrbakery.com/assets/product/image/2019/03/21/Brownies-1000-x-950_PrHrXmm.png
12,MAH-ZE-DAHR BARS,24.00,"Fresh creamery butter, oats, pecans, semisweet chocolate, brown sugar, flour, vanilla extract, leavening, fleur de sel, fresh cream.",https://mahzedahrbakery.com/assets/product/image/2018/11/07/product_mzd-bar-c.jpg
13,VANILLA BEAN SHORTBREAD,10.00,"Fresh creamery butter, sugar, flour, pure Madagascar vanilla bean paste, fleur de sel.",https://mahzedahrbakery.com/assets/ecom/product/image/2015/03/16/product_shortbread-vanillabean-c.jpg
14,HEAVENLY CHEESECAKE,55.00,"Cream cheese, sour cream, eggs, sugar, lemon, pure Madagascar vanilla bean paste, fresh creamery butter, cookies for crust.",https://mahzedahrbakery.com/assets/ecom/product/image/2015/03/17/product_cheesecake-cc.jpg